comparaciones,tiempo,cantidad
20,0.0001020999625325203,20
20,0.00024009999469853938,20
20,8.430000161752105e-05,20
20,0.00020300000323913991,20
20,-0.0017430000007152557,20
20,0.00014459999511018395,20
20,1.2500007869675756e-05,20
20,-0.00010289999772794545,20
20,-0.00026439997600391507,20
20,7.739997818134725e-05,20
20,-0.0031955000304151326,20
20,2.4699984351173043e-05,20
20,0.0005725999944843352,20
20,1.7399986973032355e-05,20
20,0.0001202999847009778,20
20,-0.00013879998004995286,20
20,-0.0002032000047620386,20
20,0.00010939998901449144,20
20,5.800000508315861e-05,20
20,0.00025189999723806977,20
40,-0.0006395000091288239,40
40,0.00024490003124810755,40
40,-0.0006443000165745616,40
40,6.00004568696022e-07,40
40,-7.589999586343765e-05,40
40,-3.3999967854470015e-06,40
40,0.00019150000298395753,40
40,-0.00018459997954778373,40
40,-1.8200022168457508e-05,40
40,0.00045620001037605107,40
40,-0.0004613000201061368,40
40,0.001261200028238818,40
40,0.0002770000137388706,40
40,2.4999899324029684e-06,40
40,-3.4199998481199145e-05,40
40,4.25000034738332e-05,40
40,1.960000372491777e-05,40
40,-8.090000483207405e-05,40
40,-0.00012579999747686088,40
40,-0.00027049999334849417,40
40,0.0008688999805599451,40
40,0.00012630000128410757,40
40,3.7600024370476604e-05,40
40,-0.00016189998132176697,40
40,-0.0004248999757692218,40
40,2.3900007363408804e-05,40
40,-0.00010289999772794545,40
40,-8.980001439340413e-05,40
40,0.00022220000391826034,40
40,0.002101299964124337,40
40,-0.00039450000622309744,40
40,0.002903499989770353,40
40,0.0002437999937683344,40
40,0.002229499979875982,40
40,-0.0017349999980069697,40
40,-0.00021930001094006002,40
40,0.0003727999865077436,40
40,-0.0005962999712210149,40
40,-8.110000635497272e-05,40
40,-0.00022529999841935933,40
60,-0.00022920002811588347,60
60,0.0005534999945666641,60
60,-6.920000305399299e-05,60
60,0.00013880000915378332,60
60,-6.450002547353506e-05,60
60,-1.0300020221620798e-05,60
60,0.00010599996312521398,60
60,-0.000281700020423159,60
60,-0.00014249997911974788,60
60,6.220000796020031e-05,60
60,-0.0005565000174101442,60
60,0.0002604000037536025,60
60,-6.3000014051795e-05,60
60,-0.0002108000044245273,60
60,-1.6799982404336333e-05,60
60,0.00010700002894736826,60
60,7.950002327561378e-05,60
60,0.0036754999891854823,60
60,-0.003720899985637516,60
60,-0.0007720000285189599,60
60,-0.00024780002422630787,60
60,0.0005383000243455172,60
60,2.2199994418770075e-05,60
60,-0.0004934000317007303,60
60,2.2299995180219412e-05,60
60,-0.00011389999417588115,60
60,-0.004103000013856217,60
60,-0.00018980001914314926,60
60,-1.6000005416572094e-05,60
60,-0.002128100022673607,60
60,-0.001566499995533377,60
60,7.079998613335192e-05,60
60,-0.002477100002579391,60
60,0.004459799994947389,60
60,-0.0033580999879632145,60
60,-0.0007329999934881926,60
60,-0.0001967000134754926,60
60,-0.00022260000696405768,60
60,0.0003661000228021294,60
60,-0.005452699988381937,60
60,-0.0014186000043991953,60
60,0.0028676999791059643,60
60,0.0001024999946821481,60
60,0.00022519999765791,60
60,0.00021889997879043221,60
60,-0.00012919999426230788,60
60,0.0015364999999292195,60
60,0.00019569997675716877,60
60,0.0036524000170174986,60
60,-0.0037229000008665025,60
60,0.00024250004207715392,60
60,-0.00017099999240599573,60
60,-0.00011590000940486789,60
60,-0.0004352999967522919,60
60,-0.00011509997420944273,60
60,-0.00038460001815110445,60
60,-8.509997860528529e-05,60
60,-0.0002214000269304961,60
60,-0.00028130001737736166,60
60,9.290000889450312e-05,60
80,0.0032346000079996884,80
80,-0.0001804000057745725,80
80,0.0001769000373315066,80
80,0.0001703999878372997,80
80,-0.00023360000341199338,80
80,-3.500000457279384e-05,80
80,0.00023720000172033906,80
80,-0.000998999981675297,80
80,-0.0015810000186320394,80
80,-0.001258500007679686,80
80,0.00010199999087490141,80
80,0.00011160000576637685,80
80,0.001748699985910207,80
80,-0.0002982000005431473,80
80,-4.370001261122525e-05,80
80,7.109995931386948e-05,80
80,-8.870000601746142e-05,80
80,-0.00011589998030103743,80
80,-0.00022259997786022723,80
80,-0.00027929997304454446,80
80,0.00010720000136643648,80
80,0.00016780002624727786,80
80,-9.87000239547342e-05,80
80,0.00011980000999756157,80
80,-5.460000829771161e-05,80
80,-0.003460900014033541,80
80,0.00012620000052265823,80
80,0.0017420000222045928,80
80,0.00012519999290816486,80
80,6.880000000819564e-05,80
80,1.4399993233382702e-05,80
80,-0.00023010000586509705,80
80,-1.5700003132224083e-05,80
80,1.309998333454132e-05,80
80,0.00010919998749159276,80
80,-8.990001515485346e-05,80
80,-3.91000066883862e-05,80
80,0.00010879998444579542,80
80,-0.00013050000416114926,80
80,0.00015009997878223658,80
80,-4.569999873638153e-05,80
80,-0.00011029999586753547,80
80,-0.00011819999781437218,80
80,7.71000050008297e-05,80
80,-9.090002276934683e-05,80
80,0.00021400002879090607,80
80,-0.00024070002837106586,80
80,-0.000381799996830523,80
80,-0.0003415000101085752,80
80,8.999777492135763e-07,80
80,0.0001373999984934926,80
80,-5.440000677481294e-05,80
80,6.700021913275123e-06,80
80,2.4199980543926358e-05,80
80,0.0004006999952252954,80
80,-0.00014250000822357833,80
80,-0.002047000016318634,80
80,-0.00014260000898502767,80
80,-0.00022600003285333514,80
80,-5.209996015764773e-05,80
80,-0.00043899999582208693,80
80,-5.449997843243182e-05,80
80,0.0001202999847009778,80
80,0.00018820000695995986,80
80,0.00020149999181739986,80
80,0.0004948000132571906,80
80,-0.00137339998036623,80
80,-0.0015682999801356345,80
80,4.4199987314641476e-05,80
80,-9.53000271692872e-05,80
80,3.999739419668913e-07,80
80,3.509997623041272e-05,80
80,-4.5199994929134846e-05,80
80,-0.000225800002226606,80
80,-1.4999997802078724e-05,80
80,-0.00012919999426230788,80
80,3.250001464039087e-05,80
80,-0.00016920000780373812,80
80,0.00016060000052675605,80
80,-3.169997944496572e-05,80
100,3.470000228844583e-05,100
100,0.00012420001439750195,100
100,3.4900003811344504e-05,100
100,5.839994992129505e-05,100
100,0.0001369999663438648,100
100,0.0003628000267781317,100
100,5.3199968533590436e-05,100
100,-0.00018849998014047742,100
